"","filename","exit_status","sys_time"
"559","add_alignments_11995833.log","OK",10
"560","add_alignments_11995834.log","OK",4
"561","add_alignments_11995835.log","OK",2
"562","add_alignments_11995836.log","OK",4
"563","add_alignments_11995837.log","OK",3
"564","add_alignments_11995838.log","OK",3
"565","add_alignments_11995839.log","OK",4
"566","add_alignments_11995840.log","OK",2
"567","add_alignments_11995841.log",NA,NA
"568","add_alignments_11995842.log","OK",2
"569","add_alignments_11995843.log",NA,NA
"570","add_alignments_11995844.log","OK",2
"571","add_alignments_11995845.log","OK",5
"572","add_alignments_11995846.log","OK",3
"573","add_alignments_11995847.log","OK",4
"574","add_alignments_11995848.log","OK",3
"575","add_alignments_11995849.log","OK",3
"576","add_alignments_11995850.log","OK",3
"577","add_alignments_11995851.log","OK",3
"578","add_alignments_11995852.log","OK",3
"579","add_alignments_11995853.log","OK",3
"580","add_alignments_11995854.log","OK",3
"581","add_alignments_11995855.log","OK",7
"582","add_alignments_11995856.log","OK",9
"583","add_alignments_11995857.log","OK",6
"584","add_alignments_11995858.log","OK",9
"585","add_alignments_11995859.log","OK",12
"586","add_alignments_11995860.log","OK",12
"587","add_alignments_11995861.log","OK",5
"588","add_alignments_11995862.log","OK",6
"589","add_alignments_11995863.log","OK",9
"590","add_alignments_11995864.log","OK",9
"591","add_alignments_11995865.log","OK",5
"592","add_alignments_11995866.log","OK",6
"593","add_alignments_11995867.log","OK",5
"594","add_alignments_11995868.log","OK",5
"595","add_alignments_11995869.log","OK",16
"596","add_alignments_11995870.log","OK",8
"597","add_alignments_11995871.log","OK",6
"598","add_alignments_11995872.log","OK",10
"599","add_alignments_11995873.log","OK",13
"600","add_alignments_11995874.log","OK",15
"601","add_alignments_11995875.log","OK",25
"602","add_alignments_11995876.log","OK",22
"603","add_alignments_11995877.log","OK",26
"604","add_alignments_11995878.log","OK",4
"605","add_alignments_11995879.log","OK",36
"606","add_alignments_11995880.log","OK",18
"607","add_alignments_11995881.log","OK",24
"608","add_alignments_11995882.log","OK",7
"609","add_alignments_11995883.log","OK",12
"610","add_alignments_11995884.log","OK",15
"611","add_alignments_11995885.log","OK",13
"612","add_alignments_11995886.log","OK",11
"613","add_alignments_11995887.log","OK",27
"614","add_alignments_11995888.log","OK",5
"615","add_alignments_11995889.log","OK",12
"616","add_alignments_11995890.log","OK",8
"617","add_alignments_11995891.log","OK",11
"618","add_alignments_11995892.log","OK",27
"619","add_alignments_11995893.log","OK",34
"620","add_alignments_11995894.log","OK",25
"621","add_alignments_11995895.log","OK",13
"622","add_alignments_11995896.log","OK",238
"623","add_alignments_11995897.log","OK",119
"624","add_alignments_11995898.log","OK",66
"625","add_alignments_11995899.log","OK",103
"626","add_alignments_11995900.log","OK",15
"627","add_alignments_11995901.log","OK",130
"628","add_alignments_11995902.log","OK",48
"629","add_alignments_11995903.log","OK",25
"630","add_alignments_11995904.log","memory",329
"631","add_alignments_11995905.log","OK",43
"632","add_alignments_11995906.log","OK",342
"633","add_alignments_11995907.log","OK",205
"634","add_alignments_11995908.log","OK",59
"635","add_alignments_11995909.log","OK",139
"636","add_alignments_11995910.log","OK",95
"637","add_alignments_11995911.log","OK",30
"638","add_alignments_11995912.log","OK",104
"639","add_alignments_11995913.log","OK",165
"640","add_alignments_11995914.log","OK",214
"641","add_alignments_11995915.log","OK",6
"642","add_alignments_11995916.log","OK",13
"643","add_alignments_11995917.log","OK",6
"644","add_alignments_11995918.log","OK",4
"645","add_alignments_11995919.log","OK",3
"646","add_alignments_11995920.log","OK",5
"647","add_alignments_11995921.log",NA,NA
"648","add_alignments_11995922.log","OK",17
"649","add_alignments_11995923.log","OK",6
"650","add_alignments_11995924.log","OK",3
"651","add_alignments_11995925.log","OK",12
"652","add_alignments_11995926.log","OK",4
"653","add_alignments_11995927.log","OK",5
"654","add_alignments_11995928.log","OK",4
"655","add_alignments_11995929.log","OK",8
"656","add_alignments_11995930.log","OK",3
"657","add_alignments_11995931.log","OK",7
"658","add_alignments_11995932.log","OK",6
"659","add_alignments_11995933.log","OK",4
"660","add_alignments_11995934.log","OK",10
"661","add_alignments_11995935.log","OK",26
"662","add_alignments_11995936.log",NA,NA
"663","add_alignments_11995937.log","OK",29
"664","add_alignments_11995938.log","OK",24
"665","add_alignments_11995939.log","OK",93
"666","add_alignments_11995940.log","OK",72
"667","add_alignments_11995941.log","OK",22
"668","add_alignments_11995942.log","OK",28
"669","add_alignments_11995943.log","OK",36
"670","add_alignments_11995944.log","OK",21
"671","add_alignments_11995945.log","OK",3
"672","add_alignments_11995946.log","OK",23
"673","add_alignments_11995947.log","OK",44
"674","add_alignments_11995948.log","OK",27
"675","add_alignments_11995949.log","OK",20
"676","add_alignments_11995950.log","OK",25
"677","add_alignments_11995951.log","OK",64
"678","add_alignments_11995952.log","OK",50
"679","add_alignments_11995953.log","OK",47
"680","add_alignments_11995954.log","OK",33
"681","add_alignments_11995955.log","OK",4
"682","add_alignments_11995956.log","OK",3
"683","add_alignments_11995957.log","OK",3
"684","add_alignments_11995958.log","OK",6
"685","add_alignments_11995959.log","OK",3
"686","add_alignments_11995960.log","OK",3
"687","add_alignments_11995961.log","OK",3
"688","add_alignments_11995962.log",NA,NA
"689","add_alignments_11995963.log","OK",3
"690","add_alignments_11995964.log","OK",4
"691","add_alignments_11995965.log","OK",3
"692","add_alignments_11995966.log","OK",4
"693","add_alignments_11995967.log","OK",3
