"","filename","operator","p","accept","reject","acceptFC","rejectFC","rejectIv","rejectOp"
"139","article_0_0_0_0_0_101_2_2_2.xml.state","SubtreeSlide.t",0.140604705387877,3979,188815,3928,183249,79895,79895
"140","article_0_0_0_0_0_101_2_2_2.xml.state","narrow.t",NA,18239,173743,17478,168982,0,0
"141","article_0_0_0_0_0_101_2_2_2.xml.state","wide.t",NA,57,38386,43,37259,19517,19517
"142","article_0_0_0_0_0_101_2_2_2.xml.state","WilsonBalding.t",NA,81,38475,46,37374,2512,2512
"143","article_0_0_0_0_0_101_2_2_2.xml.state","BirthRateScaler.t",0.473731665739737,9697,28649,9068,28181,0,0
"144","article_0_0_0_0_0_101_2_2_2.xml.state","DeathRateScaler.t",0.169488265135227,12352,26452,11461,26250,748,748
"145","article_0_0_0_0_0_102_1_1_1.xml.state","treeScaler.t",0.778059211366158,5421,33166,5340,32085,0,0
"146","article_0_0_0_0_0_102_1_1_1.xml.state","treeRootScaler.t",0.72032433081508,3775,34237,3712,33179,11670,11670
"147","article_0_0_0_0_0_102_1_1_1.xml.state","UniformOperator.t",NA,97381,287620,94471,279473,0,0
"148","article_0_0_0_0_0_102_1_1_1.xml.state","SubtreeSlide.t",0.164759350259248,3668,189353,3640,183853,81512,81512
"149","article_0_0_0_0_0_102_1_1_1.xml.state","narrow.t",NA,7057,184876,6774,179685,0,0
"150","article_0_0_0_0_0_102_1_1_1.xml.state","wide.t",NA,44,38531,39,37451,19665,19665
"151","article_0_0_0_0_0_102_1_1_1.xml.state","WilsonBalding.t",NA,46,38191,33,37093,5650,5650
"152","article_0_0_0_0_0_102_1_1_1.xml.state","BirthRateScaler.t",0.351760464740323,11623,26859,10848,26545,0,0
"153","article_0_0_0_0_0_102_1_1_1.xml.state","DeathRateScaler.t",0.178649450401519,12915,25238,12004,25049,4825,4825
"154","article_0_0_0_0_0_102_1_1_2.xml.state","treeScaler.t",0.776381600802548,5402,33021,5341,31978,0,0
"155","article_0_0_0_0_0_102_1_1_2.xml.state","treeRootScaler.t",0.75301652835314,4260,34393,4201,33409,11993,11993
"156","article_0_0_0_0_0_102_1_1_2.xml.state","UniformOperator.t",NA,97656,287102,94686,278928,0,0
"157","article_0_0_0_0_0_102_1_1_2.xml.state","SubtreeSlide.t",0.148008563047459,4048,188859,4013,183272,79781,79781
"158","article_0_0_0_0_0_102_1_1_2.xml.state","narrow.t",NA,7232,184203,6886,179130,0,0
